timestamp,sound,loudness
1000,117,113
2000,82,137
3000,26,87
4000,150,350
5000,137,189
6000,37,128
7000,400,327
8000,426,358
9000,508,319
10000,259,372
11000,526,362
12000,438,382
13000,478,330
14000,486,327
15000,358,335
16000,355,361
17000,413,378
18000,412,370
19000,443,374
20000,308,376
21000,566,362
22000,278,366
23000,355,327
24000,615,374
25000,562,314
26000,285,350
27000,329,315
28000,353,359
29000,279,334
30000,469,343
31000,818,344
32000,378,358
33000,531,369
34000,410,332
35000,617,360
36000,339,344
37000,700,340
38000,321,380
39000,602,318
40000,581,322
41000,378,330
42000,442,349
43000,570,381
44000,604,348
45000,472,335
46000,569,340
47000,516,367
48000,462,332
49000,362,371
50000,449,342
51000,455,351
52000,530,341
53000,515,353
54000,626,335
55000,535,344
56000,422,371
57000,688,402
58000,658,371
59000,603,341
60000,500,371
61000,355,295
62000,394,374
63000,460,342
64000,404,351
65000,324,350
66000,503,345
67000,255,309
68000,517,393
69000,506,328
70000,553,337
71000,427,331
72000,497,330
73000,356,295
74000,348,362
75000,491,356
76000,508,364
77000,550,322
78000,547,371
79000,575,326
80000,523,328
81000,453,356
82000,417,357
83000,629,373
84000,394,355
85000,508,347
86000,277,377
87000,577,319
88000,529,334
89000,465,353
90000,493,339
91000,636,350
92000,444,352
93000,545,335
94000,422,349
95000,671,363
96000,402,389
97000,550,395
98000,540,358
99000,348,348
100000,404,326
101000,337,370
102000,720,338
103000,436,319
104000,588,357
105000,451,316
106000,444,353
107000,525,310
108000,719,336
109000,562,397
110000,506,359
111000,452,302
112000,423,376
113000,543,383
114000,318,346
115000,302,365
116000,418,333
117000,433,341
118000,361,345
119000,435,389
120000,458,359
121000,581,339
122000,688,387
123000,533,377
124000,591,333
125000,622,380
126000,516,364
127000,611,385
128000,440,346
129000,357,329
130000,452,322
131000,652,361
132000,302,403
133000,484,330
134000,434,347
135000,523,344
136000,340,358
137000,269,347
138000,462,333
139000,665,352
140000,468,315
141000,136,131
142000,321,112
