timestamp,sound,loudness
1000,18,237
2000,323,119
3000,263,130
4000,58,132
5000,3,125
6000,564,183
7000,49,94
8000,38,80
9000,37,90
10000,134,210
11000,48,90
12000,5,223
13000,197,203
14000,51,121
15000,45,90
16000,38,135
17000,36,187
18000,114,190
19000,17,121
20000,89,149
21000,74,119
22000,14,122
23000,215,164
24000,34,187
25000,61,140
26000,33,122
27000,19,127
28000,16,118
29000,44,117
30000,16,155
31000,38,121
32000,17,92
33000,367,152
34000,48,163
35000,42,85
36000,44,127
37000,31,111
38000,94,183
39000,53,114
40000,22,108
41000,12,92
42000,14,114
43000,62,133
44000,39,120
45000,14,114
46000,34,125
47000,79,97
48000,16,86
49000,95,174
50000,36,113
51000,11,114
52000,13,123
53000,20,136
54000,67,151
55000,19,197
56000,154,77
57000,28,159
58000,16,89
59000,33,75
60000,5,107
61000,35,103
62000,32,92
63000,108,106
64000,7,122
65000,38,122
66000,37,104
67000,13,124
68000,26,104
69000,34,94
70000,20,133
71000,43,145
72000,58,101
73000,22,137
74000,56,108
75000,21,161
76000,46,132
77000,45,94
78000,35,92
79000,32,113
80000,8,114
81000,21,102
82000,115,206
83000,50,86
84000,157,115
85000,124,116
86000,38,112
87000,35,117
88000,67,109
89000,25,129
90000,36,123
91000,19,103
92000,361,105
93000,53,137
94000,36,138
95000,41,112
96000,108,115
97000,420,120
98000,52,124
99000,45,97
100000,19,150
101000,14,98
102000,41,134
103000,67,136
104000,19,121
105000,37,115
106000,364,117
107000,38,118
108000,31,97
109000,31,174
110000,13,112
111000,62,122
112000,177,131
113000,366,107
114000,45,98
115000,38,124
116000,46,109
117000,44,128
118000,50,117
119000,9,101
120000,47,125
121000,18,126
122000,44,115
123000,29,106
124000,358,118
125000,65,110
126000,38,122
127000,32,143
128000,43,132
129000,33,129
130000,35,95
131000,91,127
132000,34,105
133000,22,104
134000,30,106
135000,42,117
136000,28,103
137000,6,125
138000,12,90
139000,53,124
140000,12,134
141000,24,115
142000,84,130
143000,35,92
144000,32,135
145000,36,118
146000,43,103
147000,32,108
148000,34,101
149000,31,115
150000,44,139
151000,12,102
152000,24,129
153000,132,122
154000,29,91
155000,34,110
156000,35,117
157000,24,102
158000,64,137
159000,42,116
160000,33,110
161000,29,117
162000,6,119
163000,23,98
164000,26,129
165000,93,130
166000,59,124
167000,18,112
168000,37,118
169000,83,101
170000,17,113
171000,14,122
172000,13,115
173000,42,117
174000,17,114
175000,28,121
176000,303,127
177000,110,149
178000,3,133
179000,205,142
180000,31,110
181000,23,107
182000,41,106
183000,51,116
184000,26,134
185000,31,105
186000,39,129
187000,28,110
188000,60,109
189000,60,102
190000,21,102
191000,15,168
192000,20,101
193000,52,95
194000,25,100
195000,13,108
196000,36,105
197000,34,102
198000,43,114
199000,86,114
200000,12,115
201000,21,102
202000,28,98
203000,53,124
204000,28,96
205000,64,124
206000,32,115
207000,35,99
208000,36,105
209000,25,110
210000,68,112
211000,61,107
212000,89,166
213000,88,137
214000,17,100
