timestamp,sound,loudness
0,43,255
60000,40,207
120000,220,188
180000,237,173
240000,614,286
300000,161,137
360000,63,132
420000,269,180
480000,601,255
540000,217,215
600000,170,248
660000,62,185
720000,21,131
780000,115,127
840000,228,159
900000,226,158
960000,483,146
1020000,486,121
1080000,530,118
1140000,601,130
1200000,659,111
1260000,287,133
1320000,114,129
1380000,33,130
1440000,111,143
1500000,140,129
1560000,117,118
1620000,33,163
1680000,81,122
1740000,114,126
1800000,240,124
1860000,502,142
1920000,259,96
1980000,439,75
2040000,591,109
2100000,643,134
2160000,640,128
2220000,583,139
2280000,692,126
2340000,626,131
2400000,609,130
2460000,703,122
2520000,668,108
2580000,732,141
