sensor1,sensor2
449,467
449,467
449,468
449,467
449,467
449,468
449,468
449,468
449,467
449,467
449,467
449,467
449,467
448,467
448,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
448,467
449,467
449,467
449,467
449,467
448,467
449,467
450,468
448,467
449,467
449,467
449,467
448,467
449,467
448,466
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,468
449,467
449,468
449,468
449,467
449,467
449,467
448,468
449,467
448,468
449,467
448,467
448,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,468
449,467
449,467
449,467
449,467
448,467
448,467
449,468
449,468
449,467
449,467
449,467
449,467
448,468
449,467
449,468
448,467
449,467
449,467
448,467
448,467
448,467
449,467
449,468
449,467
449,467
448,467
449,467
448,467
449,467
448,467
449,467
449,467
448,467
449,468
449,467
449,467
448,468
449,467
448,467
449,467
449,467
449,467
448,467
448,468
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
448,468
449,467
449,467
449,467
449,467
448,467
448,467
449,467
448,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
448,466
448,467
449,467
449,466
449,467
448,467
449,467
449,468
448,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
448,467
449,467
448,467
449,467
449,467
449,467
449,467
448,467
448,467
449,466
448,467
449,467
449,466
448,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
448,467
449,468
449,467
450,468
449,468
449,468
449,467
448,468
449,467
449,468
449,467
449,467
449,467
448,467
449,467
449,468
448,468
449,467
449,467
449,467
448,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,468
449,467
449,467
448,467
449,467
449,467
449,467
448,467
449,467
449,467
449,468
449,467
449,467
449,467
448,467
448,467
448,467
449,467
449,467
448,466
449,468
449,467
448,467
449,467
449,467
449,467
449,468
449,468
449,467
448,468
449,467
449,468
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
448,467
448,467
449,467
449,467
449,467
448,468
449,467
449,467
449,467
449,467
448,467
448,468
449,467
449,467
449,467
449,467
449,467
448,467
449,467
448,467
449,467
449,468
449,467
448,468
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
448,467
448,467
449,466
448,467
448,467
449,467
449,467
448,466
448,467
449,467
449,467
449,467
449,467
449,467
449,466
448,467
448,467
449,467
449,466
449,468
448,467
449,467
448,466
449,467
449,467
448,466
448,467
448,467
449,467
449,467
448,467
449,467
449,467
448,467
449,467
449,467
448,467
449,467
448,467
448,467
449,467
449,467
449,467
449,467
449,467
448,468
449,467
448,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
448,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
448,467
449,468
449,467
449,467
449,467
449,468
450,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,468
449,467
450,467
449,467
448,467
450,467
449,467
449,467
450,467
449,467
449,467
449,468
450,468
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
449,467
450,468
449,467
449,468
449,467
450,468
449,467
449,468
449,468
449,467
449,468
449,468
449,467
449,467
449,468
449,467
450,468
449,467
449,468
449,467
448,467
449,467
449,467
449,467
450,467
448,468
449,468
449,468
449,467
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,468
449,467
448,467
448,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
449,468
449,468
449,467
450,467
449,467
449,467
449,467
449,467
449,467
449,468
449,468
449,468
450,468
449,467
449,467
449,468
449,468
449,467
449,467
450,468
450,468
449,468
449,468
449,467
450,468
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,468
449,468
449,467
449,468
450,467
449,468
449,467
449,467
448,467
448,467
449,467
449,467
449,467
448,467
449,467
448,467
449,467
449,467
448,467
449,466
449,467
448,467
449,467
449,467
448,467
449,468
449,467
449,467
449,467
449,467
449,468
450,468
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
448,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,467
448,467
449,467
449,467
449,468
449,468
449,467
449,467
449,468
449,468
449,468
449,467
449,467
449,468
449,468
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,468
449,468
450,467
449,467
449,467
449,467
449,468
449,468
449,467
449,468
450,468
449,467
449,468
449,468
450,468
450,467
449,468
449,467
449,468
449,467
450,467
449,468
450,467
449,467
449,468
449,468
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
450,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
450,468
449,468
450,468
449,467
449,468
449,467
449,467
448,467
449,467
448,468
449,467
449,467
449,467
450,467
449,468
449,467
449,468
450,468
449,468
449,468
450,468
450,467
450,468
449,468
449,468
450,468
450,467
449,467
450,468
449,467
448,467
449,468
449,468
449,467
449,467
449,468
449,467
449,467
449,468
449,468
449,468
449,467
450,467
449,467
450,467
449,467
449,468
449,467
448,467
449,468
449,468
450,468
450,467
450,467
448,467
449,467
449,467
449,468
449,467
449,467
448,467
449,468
449,467
449,467
448,468
449,468
449,468
449,468
449,467
449,468
449,467
449,467
449,467
449,467
449,468
449,468
450,468
449,468
449,467
449,467
449,467
450,468
448,467
449,467
449,466
449,467
449,467
449,467
449,467
448,467
448,468
449,468
448,468
449,467
449,468
449,467
448,467
449,467
449,468
449,467
450,468
449,467
448,467
449,468
450,468
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
448,468
449,467
449,467
449,468
449,467
449,467
449,467
449,468
448,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,468
449,467
448,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
448,467
449,467
449,467
449,466
449,467
449,467
449,467
449,467
449,467
448,467
449,468
450,468
449,467
449,466
448,468
449,467
449,467
448,467
449,467
449,467
449,467
449,467
448,467
449,467
449,468
448,468
449,467
448,468
449,467
448,467
449,467
449,467
448,467
449,468
449,467
449,468
449,467
449,467
449,467
449,468
450,468
450,467
449,467
449,467
448,467
449,467
449,467
449,467
450,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,468
449,467
449,467
449,468
449,468
449,467
449,468
449,467
449,468
449,467
449,468
449,468
449,468
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
450,467
449,468
449,467
449,467
448,468
449,467
448,467
449,468
449,467
449,467
450,468
449,468
450,467
448,467
449,468
449,468
449,468
449,467
449,467
449,468
449,468
449,468
449,467
449,467
449,467
450,467
449,468
449,468
450,468
449,468
449,468
449,467
449,467
448,467
449,468
449,468
450,467
449,467
449,468
449,468
449,467
449,467
449,468
449,467
449,467
448,467
449,467
448,467
449,467
449,468
449,467
449,468
449,467
448,468
449,468
449,468
450,467
449,468
449,468
449,468
449,468
449,467
449,467
448,467
449,467
449,467
448,467
449,467
449,468
450,467
449,468
449,467
449,468
449,467
449,468
449,468
448,468
449,468
449,467
449,467
449,467
450,467
449,467
449,468
449,467
449,467
449,468
449,466
449,467
449,467
448,468
449,467
449,467
449,467
449,467
448,467
448,466
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
450,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
448,467
449,468
449,467
448,467
449,468
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
449,468
449,468
448,467
448,467
449,467
449,467
448,467
449,467
449,468
448,467
448,467
449,468
449,467
449,467
449,468
449,467
448,468
449,467
449,467
449,468
449,467
449,468
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,468
449,467
448,467
449,467
449,467
449,467
448,467
449,468
449,467
449,467
449,467
449,468
450,468
449,468
449,468
449,467
449,468
449,468
449,467
449,467
449,467
449,467
449,468
449,467
449,468
449,467
449,468
449,467
449,467
449,468
449,468
449,467
449,468
449,468
449,467
450,468
449,468
449,468
450,468
449,468
449,467
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
448,466
449,467
449,467
449,468
450,467
449,468
449,467
449,467
450,467
449,467
449,467
450,467
449,468
450,467
449,468
449,468
448,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
450,468
449,468
449,468
449,468
449,468
450,467
450,467
449,467
449,468
450,468
449,467
449,467
449,467
449,468
449,467
449,468
450,468
449,468
449,468
449,468
449,467
449,467
449,468
449,468
449,468
450,468
449,467
449,468
450,468
449,467
449,467
450,468
449,468
449,467
449,468
450,468
449,467
449,468
449,467
450,468
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
450,467
449,467
450,468
449,467
449,467
450,468
449,468
449,467
449,468
449,468
449,467
449,467
449,467
449,468
449,468
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,468
448,467
449,467
449,467
449,467
449,467
450,467
449,468
449,467
448,468
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,468
449,467
450,467
448,467
449,467
449,467
448,467
449,467
449,467
448,467
449,467
449,468
449,467
449,467
449,466
448,467
449,467
448,467
449,467
448,466
449,467
448,467
449,467
449,466
448,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,466
448,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,468
449,467
449,468
448,468
449,467
449,467
449,467
449,467
450,467
449,467
449,468
449,467
449,468
449,467
449,466
448,467
449,467
449,467
449,467
448,467
449,468
449,467
449,467
449,468
449,468
449,468
449,468
449,467
449,467
449,467
448,467
449,467
449,467
450,467
449,468
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,467
450,467
449,467
448,467
449,467
449,467
449,467
449,468
449,468
449,467
449,467
450,467
449,467
449,468
450,467
449,467
449,468
449,467
448,467
449,467
449,468
449,468
449,468
449,467
449,467
449,467
448,467
449,467
448,467
448,467
449,467
449,467
449,468
448,468
449,467
449,467
449,468
449,467
450,467
450,467
449,467
448,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
448,467
449,467
449,468
448,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
448,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,468
450,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
448,467
448,467
449,467
450,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,468
449,467
449,466
448,467
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,467
449,467
448,467
449,467
450,467
449,467
449,467
449,467
449,468
449,467
449,468
449,468
449,468
449,468
448,468
448,467
449,467
449,468
449,467
448,467
449,467
449,467
449,467
449,468
449,468
449,467
449,467
449,468
449,467
448,467
449,467
448,468
449,467
449,468
449,467
449,467
450,467
449,468
449,467
449,468
449,467
448,467
449,468
450,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,467
449,467
448,468
449,468
450,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,468
450,468
449,467
449,467
449,467
449,468
449,467
449,468
449,467
450,467
449,468
448,468
449,467
449,467
449,467
449,467
449,467
448,467
448,467
449,467
449,467
449,467
450,467
449,467
448,467
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
448,467
449,467
448,467
449,468
449,467
448,467
449,467
449,467
449,467
448,467
449,467
448,467
449,467
449,467
448,468
449,467
449,467
449,467
448,467
449,467
448,467
448,467
448,467
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,468
449,467
449,467
449,468
449,466
449,467
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,468
450,467
449,467
449,468
449,467
449,468
450,467
449,468
450,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,468
449,468
449,467
449,467
449,467
449,468
449,468
449,467
449,467
448,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
450,467
449,467
449,467
450,468
449,467
449,468
450,468
449,468
449,467
449,467
450,468
449,468
450,467
449,467
450,468
449,468
449,468
449,468
449,468
449,467
449,468
450,468
449,467
449,467
449,468
449,468
449,467
449,468
449,467
450,468
449,468
450,467
449,468
450,468
449,468
449,468
449,467
449,467
449,468
450,468
449,467
449,467
449,468
449,468
449,467
450,467
449,467
449,467
449,468
449,468
450,467
449,467
449,467
449,467
450,468
449,467
449,468
450,468
449,467
449,467
450,467
449,467
449,467
449,467
449,467
450,467
448,467
449,468
449,468
449,468
449,467
449,467
449,468
450,467
449,467
450,467
450,467
449,468
449,467
449,468
449,467
449,468
449,467
449,468
449,468
449,468
449,467
449,468
449,468
450,468
450,467
449,468
449,467
449,467
449,467
449,467
449,467
448,468
449,468
449,467
450,467
449,468
449,468
449,467
449,467
450,467
449,467
449,467
448,467
449,468
449,467
449,467
449,468
450,467
449,467
449,467
449,467
449,467
449,468
449,467
449,468
449,467
449,467
449,467
449,467
449,468
449,467
450,467
449,467
449,467
449,468
449,468
449,468
449,467
449,468
449,468
449,468
449,468
449,467
449,467
449,467
448,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
449,467
449,467
449,468
449,467
450,468
449,467
449,467
450,467
449,467
449,468
450,468
449,468
449,468
449,467
449,468
449,468
449,467
449,468
449,467
449,468
449,467
450,467
449,467
449,467
448,468
449,467
449,467
449,468
449,467
449,467
449,467
449,467
449,467
448,467
449,467
449,468
449,467
449,467
448,467
449,467
449,467
450,467
449,467
448,467
449,467
449,468
448,468
449,468
449,467
449,468
450,468
449,467
449,467
449,467
449,467
449,468
449,467
450,468
449,468
449,468
449,467
449,467
449,467
449,467
449,467
449,468
449,468
449,467
449,467
450,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
450,467
449,468
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
450,467
449,468
449,468
450,468
449,468
449,467
449,468
449,467
449,468
449,467
449,468
449,467
449,467
449,468
450,467
449,468
450,468
449,468
449,468
449,468
449,467
449,467
449,468
449,468
449,467
449,468
449,467
449,467
448,468
449,467
449,467
449,467
449,467
449,467
449,467
449,467
449,467
450,467
449,468
450,467
449,468
449,468
449,467
449,467
449,467
449,467
450,467
450,468
450,467
449,467
449,468
449,467
450,467
450,467
449,467
449,467
449,467
450,467
449,467
449,467
449,468
450,468
449,468
449,468
449,467
449,467
449,468
449,467
449,468
449,467
449,468
449,468
449,468
449,467
449,468
449,468
450,467
449,467
449,467
450,467
449,467
449,467
449,467
449,467
449,467
449,467
449,468
449,467
449,467
449,468
449,467
449,467
449,467
449,467
