sensor1,sensor2
446,471
446,494
446,494
446,495
446,468
446,471
446,494
446,467
446,494
446,468
446,495
446,470
446,494
447,470
446,471
446,467
446,471
446,471
446,470
446,470
446,471
446,471
446,470
445,470
446,470
446,494
446,468
446,470
446,467
445,471
446,495
446,471
447,470
446,495
445,467
446,467
446,471
446,470
446,470
446,471
446,467
446,470
445,470
446,471
471,470
446,495
446,495
446,495
447,467
446,470
446,470
446,470
446,470
446,470
446,471
446,471
446,467
445,495
446,494
446,495
446,494
446,471
446,471
446,470
446,495
446,471
446,470
446,471
446,470
446,494
446,471
446,470
446,471
446,470
446,494
447,467
445,471
446,494
446,470
446,468
446,495
446,470
446,470
446,468
446,467
446,470
446,495
446,467
446,468
446,467
446,494
446,471
446,468
447,468
446,468
446,468
446,467
446,467
446,495
446,467
446,467
446,471
445,494
446,494
446,467
446,467
446,468
446,468
446,467
446,494
446,494
446,494
446,470
445,470
446,494
446,467
446,494
446,470
447,470
446,470
446,467
446,468
446,467
446,467
446,495
446,467
446,470
446,468
446,494
446,467
446,494
447,468
446,494
446,470
446,494
446,467
445,467
446,467
446,494
446,470
446,467
446,467
446,494
446,495
446,467
446,468
446,467
446,467
446,467
446,467
446,468
446,495
446,468
446,494
446,467
446,471
447,494
446,467
446,468
446,467
446,467
446,494
446,471
446,470
446,470
446,494
446,471
471,495
446,470
445,470
445,471
445,494
446,470
446,470
470,470
446,470
446,470
446,494
445,470
445,470
446,470
445,494
445,470
446,470
446,470
446,494
447,470
446,494
446,471
446,471
446,494
446,494
446,471
446,495
446,467
446,470
446,495
446,471
446,471
447,471
446,467
446,471
445,470
446,470
446,470
446,494
446,495
446,470
446,494
446,494
446,470
445,494
447,495
446,470
446,470
446,468
446,494
446,471
446,471
446,495
447,468
446,494
446,494
446,494
446,468
447,467
446,467
446,467
445,467
446,471
446,471
447,471
446,495
445,470
446,495
446,495
446,468
446,470
447,495
446,467
446,471
446,471
446,471
446,471
446,471
446,470
446,470
446,470
446,470
446,470
446,495
447,470
446,494
446,494
446,471
446,470
447,470
446,495
446,470
446,471
447,470
446,494
446,470
446,470
447,494
446,470
446,467
446,470
447,494
446,467
447,470
446,495
446,470
446,467
447,494
446,494
446,470
445,470
446,494
446,470
445,494
446,470
446,470
445,471
446,495
447,470
446,494
447,470
446,468
446,467
446,494
446,470
446,467
446,470
445,493
446,470
445,466
446,467
445,470
445,470
446,470
445,470
445,494
446,494
446,470
446,470
445,470
446,470
446,470
445,494
446,469
446,493
446,470
446,470
446,471
446,470
446,470
446,467
446,470
446,470
445,494
445,494
446,471
446,470
446,470
445,470
446,469
446,469
446,470
445,470
445,470
446,470
445,470
445,470
446,470
446,468
446,471
446,470
445,494
446,471
445,470
446,494
446,494
446,471
446,470
445,470
446,470
446,471
446,470
446,495
446,471
446,494
446,470
446,470
446,470
446,494
447,470
446,470
446,470
446,470
446,495
446,470
446,471
446,471
446,495
446,470
446,470
446,494
446,470
446,495
446,471
446,470
446,471
446,470
446,471
446,470
446,470
446,470
445,470
446,470
446,470
446,494
446,471
447,470
447,495
446,470
446,470
446,471
446,470
446,470
446,470
446,494
446,494
446,471
446,495
446,470
446,470
446,470
446,470
446,470
446,470
446,471
446,471
446,470
446,494
446,470
446,470
446,494
446,470
446,494
446,495
446,467
446,494
446,495
446,494
446,471
447,470
446,471
446,494
446,471
445,470
446,470
446,470
446,494
445,469
446,494
445,470
446,469
446,494
446,467
445,494
445,470
446,493
446,469
446,467
445,469
446,467
446,494
445,467
446,494
446,469
445,494
445,470
446,493
445,470
445,470
446,467
446,469
445,470
445,494
446,494
446,467
446,494
445,467
446,494
445,470
446,470
446,470
445,471
446,470
445,470
446,470
446,470
446,494
446,470
446,467
446,468
446,470
446,495
446,470
446,495
446,471
445,494
446,467
446,494
446,470
446,470
446,495
445,467
446,470
446,470
446,470
446,470
446,471
446,469
445,470
446,470
445,470
445,471
445,494
446,467
446,494
446,470
446,471
446,495
446,471
445,494
446,470
446,470
446,470
446,470
445,470
446,470
446,494
446,470
446,470
446,470
446,470
446,494
445,470
446,470
446,470
446,470
446,470
445,470
446,470
446,467
445,470
446,493
446,470
446,470
446,469
446,470
446,470
446,471
446,494
446,494
445,471
446,470
445,470
446,494
446,470
445,493
445,469
445,470
446,470
446,470
446,470
446,469
445,471
445,494
446,470
446,470
446,470
445,470
445,470
446,494
446,469
445,494
446,471
446,494
446,494
446,494
446,470
446,494
446,467
445,469
445,470
446,469
446,470
446,470
446,470
445,494
446,470
446,469
446,494
446,470
446,494
445,470
446,494
446,470
446,471
446,494
445,494
446,470
445,470
445,470
446,494
446,470
446,471
446,494
446,471
446,471
446,494
446,494
446,470
446,495
446,470
446,470
446,494
446,470
446,470
446,470
446,470
446,494
446,471
446,494
446,470
445,470
445,471
446,470
446,471
446,471
446,471
446,470
446,471
446,470
446,494
446,494
446,470
446,494
446,471
446,470
445,470
446,470
446,495
446,471
446,471
446,470
446,495
447,470
446,495
446,494
446,494
446,468
446,471
446,494
446,470
446,495
447,495
446,467
447,470
446,495
446,494
446,494
446,471
446,470
446,494
446,470
446,470
446,471
446,494
446,494
