sensor1,sensor2
452,467
449,464
452,464
449,488
452,464
449,464
449,464
449,464
450,464
450,464
448,464
452,464
452,464
452,465
450,488
452,464
449,465
449,465
452,465
449,464
449,464
449,464
449,464
449,464
452,464
449,464
449,464
451,464
449,464
452,464
449,465
452,464
449,464
475,465
449,464
449,465
449,464
449,465
450,465
449,464
452,465
449,465
449,464
449,465
449,464
449,464
449,465
449,491
449,464
449,464
449,464
449,468
449,465
450,465
453,464
449,465
449,464
449,464
449,461
448,464
449,464
449,465
449,465
450,465
449,464
449,465
450,464
452,464
449,464
449,465
449,464
449,464
448,464
449,463
449,464
449,465
476,464
476,464
449,464
449,465
449,464
452,464
449,464
449,464
449,465
450,464
449,465
449,464
449,465
449,464
449,465
449,465
449,464
449,464
451,464
448,464
449,464
448,464
452,464
449,465
448,464
449,488
450,465
449,465
449,464
449,464
449,465
449,464
449,465
476,465
449,464
452,465
449,465
449,464
449,465
449,464
449,465
449,464
448,464
449,465
449,465
449,464
449,464
449,464
448,464
448,465
449,464
450,464
449,464
449,465
449,464
449,464
449,464
450,464
449,464
449,465
449,464
449,465
449,465
450,464
449,464
449,464
449,464
449,465
452,465
449,465
452,465
449,462
449,465
449,464
449,465
452,464
452,464
449,462
449,465
449,464
449,464
449,465
449,465
449,465
449,464
449,464
449,488
449,465
449,465
449,464
449,465
449,465
452,465
452,464
449,464
449,464
449,465
448,465
449,464
449,464
449,488
449,465
449,464
452,465
449,465
452,464
452,465
451,465
452,465
448,465
449,465
450,465
449,464
449,465
451,464
449,464
451,464
449,464
452,464
448,464
452,465
452,464
452,464
449,464
452,464
449,464
449,465
449,465
449,464
449,465
449,465
449,464
449,465
452,465
450,488
452,464
452,464
449,465
449,461
450,465
451,464
449,464
449,465
449,464
449,464
449,464
448,489
448,464
449,464
449,464
448,464
452,464
449,464
448,464
449,464
449,464
448,464
449,464
448,464
452,465
449,464
449,464
449,463
449,464
449,464
453,464
449,464
448,464
452,464
448,464
449,464
449,464
449,464
449,464
448,465
449,491
449,467
449,464
448,464
449,464
449,464
451,464
449,464
449,464
449,464
448,464
449,464
450,465
449,464
449,464
449,464
449,464
449,464
449,464
449,464
448,464
452,464
448,464
449,464
449,464
449,464
448,464
449,464
448,488
449,463
449,464
449,465
449,464
449,464
449,464
449,464
449,464
449,464
449,464
449,461
449,464
449,464
448,464
449,464
449,464
448,464
448,464
449,465
449,464
448,464
449,465
449,464
449,464
449,464
448,464
449,464
449,464
449,464
449,467
448,464
449,488
449,464
448,465
448,464
449,464
449,464
452,464
449,464
449,464
449,464
449,464
449,465
449,464
449,464
449,464
449,464
452,464
449,465
452,464
449,465
449,465
450,465
449,464
449,464
449,464
449,463
449,464
449,464
449,464
448,464
475,464
448,464
449,464
476,464
448,464
448,464
448,463
448,463
448,464
448,464
448,464
449,464
448,464
448,488
448,463
449,463
449,463
449,464
451,464
448,464
448,464
449,464
448,464
448,464
448,464
451,464
449,464
448,464
448,464
448,463
448,464
448,463
448,464
449,463
449,463
448,464
449,464
449,464
448,464
448,464
451,464
448,464
449,464
449,464
449,464
448,464
475,463
448,464
451,464
449,464
449,464
452,464
449,464
451,464
449,464
449,464
452,464
449,464
449,464
448,464
449,464
448,465
449,464
449,464
449,464
448,463
452,464
452,464
448,463
452,464
449,464
448,465
448,461
449,464
449,464
449,464
449,461
449,488
448,464
449,464
452,464
451,464
452,464
452,464
449,464
451,464
448,464
448,460
448,464
451,464
449,463
448,464
449,464
449,464
449,464
449,464
451,464
449,464
452,488
452,488
452,464
449,488
448,464
449,464
449,461
449,488
448,464
449,464
449,464
452,464
449,464
448,464
449,465
452,461
449,464
449,463
448,464
452,464
449,464
449,464
448,464
449,465
475,464
452,464
452,464
449,465
448,464
449,464
449,464
449,465
449,464
449,465
449,464
448,464
449,464
449,464
448,464
448,464
449,488
475,464
449,488
450,464
450,464
449,464
449,464
449,464
449,464
448,464
448,464
449,464
448,464
452,465
449,464
452,464
448,464
449,464
449,464
449,489
448,464
449,464
449,464
449,487
448,461
448,464
449,489
449,488
448,464
449,464
449,464
449,464
449,488
452,464
448,464
449,464
449,464
449,464
448,488
449,464
449,487
449,464
448,464
449,464
448,464
449,464
449,488
449,464
448,464
449,464
448,464
449,464
449,488
449,464
449,464
449,465
449,465
451,464
449,464
449,464
448,464
449,464
452,464
449,464
448,464
449,464
452,464
448,464
451,464
449,465
449,464
449,463
449,464
449,464
449,464
451,464
452,464
449,464
449,464
452,464
449,464
449,464
451,464
449,464
449,464
448,464
449,464
451,464
449,464
451,463
452,464
449,463
451,464
448,464
452,464
452,464
449,464
449,464
448,464
451,465
452,464
449,464
449,488
449,488
449,465
449,465
448,464
452,465
452,464
452,464
452,464
449,464
451,464
449,465
452,464
448,464
449,464
449,464
449,464
449,465
449,488
449,464
452,464
449,464
452,467
449,464
452,465
449,465
450,465
449,464
449,464
448,464
449,464
452,464
449,464
449,464
452,464
476,465
452,464
449,464
449,464
452,464
452,464
452,464
452,464
451,464
452,464
453,464
449,465
449,464
452,464
449,465
452,465
452,464
449,464
449,464
451,464
449,464
449,465
449,464
449,465
452,464
449,465
452,464
449,465
449,464
448,465
451,464
449,464
448,464
476,464
448,464
449,465
449,465
448,464
449,465
452,464
449,464
476,465
449,464
449,464
449,465
449,465
476,464
452,464
451,464
452,465
449,464
452,465
452,461
452,465
452,462
449,464
452,464
449,464
449,464
452,464
449,464
449,488
448,464
449,464
452,464
449,464
451,461
449,464
448,464
452,464
476,464
448,464
452,464
452,464
476,464
449,463
448,464
449,464
449,464
452,464
451,463
449,463
452,464
449,464
449,464
451,464
476,463
452,463
476,464
452,464
451,464
449,464
451,464
451,464
449,464
448,464
452,464
449,464
449,463
451,463
449,463
451,463
451,464
475,464
451,464
451,464
449,464
452,463
451,463
452,463
451,464
449,464
452,464
449,464
449,463
451,463
451,464
448,464
451,464
448,464
449,464
449,463
448,464
452,464
451,464
448,464
451,464
452,464
451,463
452,488
451,464
452,460
451,461
475,461
452,464
448,464
449,465
452,464
448,463
452,464
448,464
448,464
449,464
475,464
451,464
476,464
451,464
452,464
452,464
476,464
449,463
451,487
451,463
452,464
452,464
452,464
448,464
449,464
448,463
451,464
451,463
448,464
448,488
452,464
452,464
448,463
451,464
448,463
449,464
448,464
475,463
448,463
451,463
451,463
448,464
448,464
451,463
452,488
451,464
452,464
451,464
452,488
452,464
449,464
475,488
476,488
452,461
452,464
452,462
452,488
451,464
451,488
452,464
452,464
449,464
451,488
452,464
452,464
452,488
452,464
452,464
448,464
449,464
449,465
449,464
451,488
449,464
449,488
451,461
449,461
449,487
451,463
448,464
451,464
451,460
449,488
451,463
448,488
449,463
448,460
448,487
448,488
448,464
448,464
449,464
449,464
448,463
449,463
476,464
449,463
448,463
451,464
448,464
452,464
451,464
451,464
476,464
451,464
452,464
452,464
448,463
451,464
476,464
452,464
451,464
451,463
452,464
452,488
451,461
451,464
476,461
451,488
451,464
451,464
452,464
476,464
452,463
452,464
475,464
452,464
451,464
452,488
451,464
451,464
451,464
449,464
452,464
452,464
452,464
452,464
451,465
451,461
449,462
449,489
449,489
452,461
452,488
452,465
452,464
451,461
449,464
449,488
449,488
448,464
448,461
451,464
451,464
448,464
449,463
449,464
448,464
476,464
448,464
448,464
451,464
452,464
449,464
448,464
452,464
449,464
449,464
449,464
449,464
449,464
449,464
449,464
452,464
452,463
475,464
449,464
452,465
477,465
448,464
452,464
452,463
451,463
452,464
452,463
451,464
475,464
452,463
449,464
452,464
448,463
452,464
449,464
451,464
451,464
448,464
452,464
448,464
448,464
452,464
448,464
475,463
449,464
449,464
451,464
452,464
452,464
452,465
449,464
451,464
452,464
