sensor1,sensor2
448,470
451,469
449,470
448,470
449,494
448,470
449,493
451,470
475,467
452,494
449,494
449,470
449,470
476,493
475,470
451,471
449,470
448,470
448,470
449,470
476,470
449,467
451,469
451,493
448,493
475,467
475,469
451,469
449,470
448,470
475,470
448,470
448,470
448,470
449,469
448,470
448,470
449,494
449,470
448,470
448,470
448,470
448,470
448,470
449,470
448,470
448,470
449,469
448,494
451,470
448,469
448,470
449,470
449,467
449,471
449,494
448,494
451,469
452,470
449,470
449,493
448,469
452,469
449,470
449,470
448,470
449,470
476,470
449,470
449,494
449,470
475,494
448,470
451,470
448,470
451,469
448,469
452,470
448,494
448,470
449,494
451,470
448,469
475,467
451,470
452,493
452,470
451,469
475,470
475,470
451,469
448,470
449,469
448,470
449,470
449,469
452,470
448,470
451,469
476,470
449,470
448,470
449,470
476,469
449,470
452,470
452,469
452,469
449,470
452,470
449,470
451,470
448,470
451,470
475,494
451,470
449,470
451,470
476,469
449,470
476,494
449,469
451,469
449,470
448,469
451,470
449,494
449,467
448,494
448,470
451,494
449,470
448,470
448,469
448,470
452,466
451,494
448,467
448,494
448,493
448,493
449,470
449,470
448,470
449,470
475,493
449,467
452,470
449,470
449,470
449,469
448,470
452,470
452,470
476,470
475,494
452,470
452,470
452,495
449,470
448,470
449,470
452,494
475,470
452,495
451,470
449,470
452,470
453,470
452,471
452,471
452,470
449,470
452,470
475,470
448,470
451,470
452,470
449,470
452,467
476,470
449,494
449,493
448,494
448,470
452,494
452,470
449,470
448,470
451,495
448,471
452,470
449,471
452,495
449,494
449,470
451,470
449,495
452,470
452,470
449,470
448,470
449,470
448,470
452,469
453,470
451,470
452,470
452,470
476,471
449,494
449,470
452,470
449,470
449,470
449,494
448,470
449,470
475,470
448,494
452,470
449,470
449,470
449,470
449,470
476,469
448,470
449,470
452,470
452,470
449,470
449,494
449,494
449,470
449,470
449,470
449,470
448,470
448,470
449,470
450,470
449,470
449,493
452,467
449,470
449,470
449,467
449,493
449,469
449,470
476,469
449,470
449,470
449,470
448,470
452,470
449,470
451,470
449,470
448,494
452,470
452,470
449,469
452,469
452,470
452,470
452,471
452,470
452,471
452,471
449,470
452,493
449,471
449,470
449,470
449,470
452,470
452,467
452,470
452,470
449,469
452,470
449,470
449,470
475,470
449,467
452,471
449,470
449,470
449,470
476,470
449,494
449,467
452,470
448,467
449,493
449,494
476,470
451,470
449,493
448,493
448,470
449,470
448,471
449,470
449,494
453,469
476,494
448,494
452,467
449,494
449,493
448,469
475,493
448,470
448,470
449,470
475,469
448,469
452,470
449,493
475,466
449,469
449,469
448,469
448,470
451,470
448,470
452,470
449,470
448,470
475,470
448,470
451,470
475,494
451,470
448,495
452,470
452,470
451,470
449,470
452,470
449,470
452,494
476,494
449,470
448,470
452,469
448,469
448,493
476,494
448,493
476,493
451,470
451,493
452,470
448,467
452,494
452,467
476,470
475,469
475,470
475,469
448,493
452,470
475,470
448,470
475,469
448,470
449,469
448,469
449,470
451,470
452,469
448,494
448,493
451,494
476,493
448,493
451,469
448,470
451,469
475,493
451,469
